payer_name,domain,payer_type,search_aliases
Aetna,aetna.com,National,Aetna|CVS Health|CVS Aetna|Aetna Inc
Alameda Alliance for Health,alamedaalliance.org,Medicaid MCO,Alameda Alliance|AAH
Arkansas Blue Cross and Blue Shield,arkansasbluecross.com,Blues Plan,Arkansas Blue Cross|ABCBS|Arkansas BCBS
Blue Cross & Blue Shield of Mississippi,bcbsms.com,Blues Plan,BCBS Mississippi|BlueCross BlueShield Mississippi|BCBSMS
Blue Cross & Blue Shield of Rhode Island,bcbsri.com,Blues Plan,BCBS Rhode Island|BCBSRI|Blue Cross RI
Blue Cross and Blue Shield of Alabama,bcbsal.com,Blues Plan,BCBS Alabama|BCBSAL|Blue Cross Alabama
Blue Cross and Blue Shield of Kansas,bcbsks.com,Blues Plan,BCBS Kansas|BCBSKS|Blue Cross Kansas
Blue Cross and Blue Shield of Kansas City,bluekc.com,Blues Plan,Blue KC|BlueKC|BCBS Kansas City|Blue Cross Kansas City
Blue Cross and Blue Shield of Louisiana,bcbsla.com,Blues Plan,BCBS Louisiana|BCBSLA|Blue Cross Louisiana
Blue Cross and Blue Shield of Minnesota,bluecrossmn.com,Blues Plan,BCBS Minnesota|BCBSMN|Blue Cross MN|Blue Plus MN
Blue Cross and Blue Shield of Nebraska,nebraskabluecross.com,Blues Plan,BCBS Nebraska|BCBSNE|Blue Cross Nebraska
Blue Cross Blue Shield of Arizona,azblue.com,Blues Plan,AZ Blue|BCBS Arizona|BCBSAZ|Blue Cross Arizona
Blue Cross Blue Shield of Michigan,bcbsm.com,Blues Plan,BCBSM|Blue Cross Michigan|Blue Care Network
BlueCross BlueShield of South Carolina,southcarolinablues.com,Blues Plan,BCBS South Carolina|BCBSSC|BlueCross BlueShield SC
BlueCross BlueShield of Tennessee,bcbst.com,Blues Plan,BCBS Tennessee|BCBST|BlueCross BlueShield TN
CalViva Health,calviva.org,Medicaid MCO,CalViva Health|CalViva|Valley Health Plan
Capital District Physicians' Health Plan Inc. (CDPHP),cdphp.com,Regional,CDPHP|Capital District Physicians Health Plan
CareOregon,careoregon.org,Medicaid MCO,CareOregon|Care Oregon|Oregon Health Plan CareOregon
CenCal Health,cencalhealth.org,Medicaid MCO,CenCal Health|CenCal|Santa Barbara San Luis Obispo Health
Central California Alliance for Health,ccah-alliance.org,Medicaid MCO,Central California Alliance|CCAH Alliance|Alliance for Health
