payer_name,domain,payer_type,search_aliases
Florida Blue,floridablue.com,Blues Plan,Florida Blue|GuideWell|BCBS Florida|GuideWell Mutual
Geisinger Health Plan,geisinger.org,Regional,Geisinger Health Plan|Geisinger|GHP
Gold Coast Health Plan,goldcoasthealthplan.org,Medicaid MCO,Gold Coast Health Plan|GCHP|Ventura County Health Plan
Health Alliance Plan,hap.org,Regional,Health Alliance Plan|HAP|Henry Ford Health Alliance Plan
Health Plan of San Joaquin,hpsj.com,Medicaid MCO,Health Plan of San Joaquin|HPSJ
Horizon Blue Cross Blue Shield of New Jersey,horizonblue.com,Blues Plan,Horizon BCBSNJ|Horizon Blue Cross|Horizon NJ Health|BCBS New Jersey
Independence Blue Cross,ibx.com,Blues Plan,Independence Blue Cross|IBX|Independence BC|AmeriHealth
Inland Empire Health Plan,iehp.org,Medicaid MCO,Inland Empire Health Plan|IEHP
Jefferson Health Plans,jeffersonhealthplans.com,Regional,Jefferson Health Plans|Health Partners Plans|HealthPartners Plans PA
Kaiser Foundation Health Plan Inc.,kp.org,National,Kaiser Permanente|Kaiser|KP|Kaiser Foundation
Kern Health Systems Inc.,kernhealthsystems.com,Medicaid MCO,Kern Health Systems|KHS|Kern Health
Maryland Physicians Care,marylandphysicianscare.com,Medicaid MCO,Maryland Physicians Care|MPC|Maryland Physicians Care MCO
Mass General Brigham Health Plan,massgeneralbrighamhealthplan.org,Regional,Mass General Brigham Health Plan|MGB Health Plan|Allways Health Partners|MGBHP
Medical Mutual of Ohio,medmutual.com,Regional,Medical Mutual of Ohio|Medical Mutual|MedMutual
MedStar Family Choice,medstarfamilychoice.com,Medicaid MCO,MedStar Family Choice|MedStar Health|MedStar Medicaid
MVP Health Care,mvphealthcare.com,Regional,MVP Health Care|MVP Health|Independent Health|MVP Independent Health
Neighborhood Health Plan of Rhode Island,nhpri.org,Medicaid MCO,Neighborhood Health Plan Rhode Island|NHPRI|Neighborhood Health Plan RI
Oscar Health,hioscar.com,National,Oscar Health|Oscar Insurance|Oscar
Partnership HealthPlan of California,partnershiphp.org,Medicaid MCO,Partnership HealthPlan of California|Partnership HP|PHP California
Point32Health Inc.,point32health.org,Regional,Point32Health|Harvard Pilgrim Health Care|Tufts Health Plan|Harvard Pilgrim|Tufts Health
Priority Health,priorityhealth.com,Regional,Priority Health|Spectrum Health|Corewell Health Plan
Priority Partners,prioritypartners.org,Medicaid MCO,Priority Partners|Johns Hopkins Priority Partners|Priority Partners MCO
Sanford Health Group,sanfordhealth.org,Regional,Sanford Health Plan|Sanford Health|Sanford Health Group
Santa Clara Family Health Plan,scfhp.com,Medicaid MCO,Santa Clara Family Health Plan|SCFHP
UnitedHealthcare,uhc.com,National,UnitedHealth Group|UHG|Optum|UnitedHealth
UPMC Health Plan,upmchealthplan.com,Regional,UPMC Health Plan|UPMC Insurance|UPMC
WellSense Health Plan,wellsense.org,Medicaid MCO,WellSense Health Plan|Boston Medical Center HealthNet Plan|BMC HealthNet|WellSense
Wellmark Blue Cross and Blue Shield of Iowa,wellmark.com,Blues Plan,Wellmark BCBS|Wellmark Blue Cross|BCBS Iowa|Wellmark Iowa
